"ext_gene" "cellType" "target_id" "ens_gene" "transcript_type"
"1" "Abi3bp" "Basal Cells" "ENSMUST00000171000" "ENSMUSG00000035258" "protein_coding"
"2" "Apoe" "Basal Cells" "ENSMUST00000172983" "ENSMUSG00000002985" "protein_coding"
"3" "Aqp3" "Basal Cells" "ENSMUST00000154722" "ENSMUSG00000028435" "retained_intron"
"4" "Aqp4" "Basal Cells" "ENSMUST00000235044" "ENSMUSG00000024411" "protein_coding"
"5" "Bpifa1" "Basal Cells" "ENSMUST00000140006" "ENSMUSG00000027483" "processed_transcript"
"6" "Dapl1" "Basal Cells" "ENSMUST00000144415" "ENSMUSG00000026989" "processed_transcript"
"7" "Dcn" "Basal Cells" "ENSMUST00000163448" "ENSMUSG00000019929" "protein_coding"
"8" "Dst" "Basal Cells" "ENSMUST00000183006" "ENSMUSG00000026131" "protein_coding"
"9" "Eef1a1" "Basal Cells" "ENSMUST00000156988" "ENSMUSG00000037742" "protein_coding"
"10" "Eef1b2" "Basal Cells" "ENSMUST00000129339" "ENSMUSG00000025967" "protein_coding"
"11" "Egr1" "Basal Cells" "ENSMUST00000165033" "ENSMUSG00000038418" "protein_coding"
"12" "Ehf" "Basal Cells" "ENSMUST00000111176" "ENSMUSG00000012350" "protein_coding"
"13" "Emb" "Basal Cells" "ENSMUST00000224821" "ENSMUSG00000021728" "processed_transcript"
"14" "Epas1" "Basal Cells" "ENSMUST00000234447" "ENSMUSG00000024140" "processed_transcript"
"15" "F3" "Basal Cells" "ENSMUST00000029771" "ENSMUSG00000028128" "protein_coding"
"16" "Fxyd3" "Basal Cells" "ENSMUST00000170456" "ENSMUSG00000057092" "retained_intron"
"17" "Glul" "Basal Cells" "ENSMUST00000153134" "ENSMUSG00000026473" "processed_transcript"
"18" "Gsta4" "Basal Cells" "ENSMUST00000034903" "ENSMUSG00000032348" "protein_coding"
"19" "Gstm2" "Basal Cells" "ENSMUST00000140420" "ENSMUSG00000040562" "retained_intron"
"20" "Gsto1" "Basal Cells" "ENSMUST00000143694" "ENSMUSG00000025068" "retained_intron"
"21" "Jun" "Basal Cells" "ENSMUST00000107094" "ENSMUSG00000052684" "protein_coding"
